address,city,stateOrProvince,zipOrPostalCode,status,locationUrl,empolyee
Kalyani Platina Tech Park,Bengaluru,Karnataka,560037,Active,https://www.neudesic.com/about/contact/, 500
Jyothi pinnacle whitefields,Hyderabad,Hyderabad,500081,Active,https://www.neudesic.com/about/contact/, 700
Carnival Info Park,Kakkanad,Kochi,682042,Active,https://www.neudesic.com/about/contact/, 500
Phoenix AZ,Mill Avenue,Tempe,85281,Active,https://www.neudesic.com/about/contact/, 600
Seattle WA,Suite,Seattle,WA 98104,Active,https://www.neudesic.com/about/contact/, 280
842 West Sam Houston Pkwy N,Suite 560,Houston,TX 77024,Active,https://www.neudesic.com/about/contact/, 550
33 E 33rd Street,Suite 1000,New York,NY 10016,Active,https://www.neudesic.com/about/contact/, 500
200 Spectrum Center Drive,Suite 2000,Irvine,CA 92618,Active,https://www.neudesic.com/about/contact/, 400


